ALTR,Date
18.309999465942383,2017-11-01
17.40999984741211,2017-11-02
19.3700008392334,2017-11-03
18.969999313354492,2017-11-06
19.510000228881836,2017-11-07
20.360000610351562,2017-11-08
20.399999618530273,2017-11-09
20.760000228881836,2017-11-10
21.719999313354492,2017-11-13
22.360000610351562,2017-11-14
23.489999771118164,2017-11-15
23.940000534057617,2017-11-16
24.15999984741211,2017-11-17
24.760000228881836,2017-11-20
24.5,2017-11-21
23.940000534057617,2017-11-22
24.899999618530273,2017-11-24
22.649999618530273,2017-11-27
23.8700008392334,2017-11-28
22.139999389648438,2017-11-29
22.389999389648438,2017-11-30
23.459999084472656,2017-12-01
21.899999618530273,2017-12-04
21.559999465942383,2017-12-05
21.020000457763672,2017-12-06
22.200000762939453,2017-12-07
21.600000381469727,2017-12-08
23.079999923706055,2017-12-11
22.31999969482422,2017-12-12
21.440000534057617,2017-12-13
21.0,2017-12-14
21.260000228881836,2017-12-15
22.6299991607666,2017-12-18
22.59000015258789,2017-12-19
23.239999771118164,2017-12-20
24.389999389648438,2017-12-21
23.1299991607666,2017-12-22
23.030000686645508,2017-12-26
23.610000610351562,2017-12-27
24.309999465942383,2017-12-28
23.920000076293945,2017-12-29
24.270000457763672,2018-01-02
25.049999237060547,2018-01-03
24.920000076293945,2018-01-04
25.0,2018-01-05
25.40999984741211,2018-01-08
26.600000381469727,2018-01-09
27.989999771118164,2018-01-10
26.450000762939453,2018-01-11
25.8799991607666,2018-01-12
25.579999923706055,2018-01-16
24.860000610351562,2018-01-17
25.510000228881836,2018-01-18
26.75,2018-01-19
25.68000030517578,2018-01-22
25.90999984741211,2018-01-23
25.469999313354492,2018-01-24
25.010000228881836,2018-01-25
26.270000457763672,2018-01-26
25.219999313354492,2018-01-29
26.260000228881836,2018-01-30
26.600000381469727,2018-01-31
27.489999771118164,2018-02-01
26.950000762939453,2018-02-02
26.799999237060547,2018-02-05
26.420000076293945,2018-02-06
26.520000457763672,2018-02-07
25.290000915527344,2018-02-08
25.239999771118164,2018-02-09
25.739999771118164,2018-02-12
25.719999313354492,2018-02-13
25.809999465942383,2018-02-14
26.540000915527344,2018-02-15
26.84000015258789,2018-02-16
26.149999618530273,2018-02-20
25.899999618530273,2018-02-21
25.899999618530273,2018-02-22
26.15999984741211,2018-02-23
26.40999984741211,2018-02-26
26.639999389648438,2018-02-27
26.31999969482422,2018-02-28
26.25,2018-03-01
26.479999542236328,2018-03-02
26.489999771118164,2018-03-05
27.290000915527344,2018-03-06
29.979999542236328,2018-03-07
29.239999771118164,2018-03-08
29.399999618530273,2018-03-09
30.110000610351562,2018-03-12
29.600000381469727,2018-03-13
29.209999084472656,2018-03-14
29.5,2018-03-15
29.579999923706055,2018-03-16
29.579999923706055,2018-03-19
31.850000381469727,2018-03-20
